Year,Country,Year
1733,ICELAND,1
1755,SWEDEN,1
1785,UNITED KINGDOM,1
1788,AUSTRALIA,1
1791,AUSTRALIA,1
1803,AUSTRALIA,1
1804,AUSTRALIA,1
1807,AUSTRALIA,1
1812,UNITED KINGDOM,1
1818,NORWAY,1
1825,AUSTRALIA,2
1831,AUSTRALIA,1
1832,AUSTRALIA,2
1836,AUSTRALIA,1
1837,AUSTRALIA,1
1839,AUSTRALIA,2
1840,AUSTRALIA,2
1841,AUSTRALIA,1
1842,AUSTRALIA,1
1845,AUSTRALIA,1
1845,UNITED KINGDOM,1
1847,AUSTRALIA,3
1848,UNITED KINGDOM,1
1849,AUSTRALIA,4
1852,AUSTRALIA,2
1852,NEW ZEALAND,1
1853,AUSTRALIA,2
1855,AUSTRALIA,4
1856,AUSTRALIA,1
1856,UNITED KINGDOM,1
1858,AUSTRALIA,1
1860,AUSTRALIA,1
1860,NEW ZEALAND,2
1861,AUSTRALIA,1
1861,NEW ZEALAND,1
1861,SINGAPORE,1
1862,AUSTRALIA,1
1862,JAPAN,1
1862,NEW ZEALAND,2
1863,AUSTRALIA,3
1864,AUSTRALIA,1
1864,NEW ZEALAND,2
1864,UNITED KINGDOM,1
1865,AUSTRALIA,1
1866,AUSTRALIA,1
1868,AUSTRALIA,2
1868,NEW ZEALAND,1
1869,AUSTRALIA,1
1870,AUSTRALIA,3
1871,AUSTRALIA,4
1872,AUSTRALIA,1
1873,AUSTRALIA,2
1874,AUSTRALIA,2
1874,CANADA,1
1875,AUSTRALIA,3
1875,NEW ZEALAND,1
1876,AUSTRALIA,4
1876,UNITED KINGDOM,1
1877,AUSTRALIA,8
1878,AUSTRALIA,2
1879,AUSTRALIA,2
1879,NEW ZEALAND,1
1880,AUSTRALIA,4
1880,NEW ZEALAND,1
1881,AUSTRALIA,1
1882,AUSTRALIA,6
1882,JAPAN,1
1882,NEW ZEALAND,3
1883,AUSTRALIA,5
1884,AUSTRALIA,2
1885,AUSTRALIA,2
1885,NEW ZEALAND,1
1886,AUSTRALIA,6
1886,NEW ZEALAND,2
1887,AUSTRALIA,2
1887,NEW ZEALAND,1
1888,AUSTRALIA,5
1888,CANADA,1
1888,NEW ZEALAND,1
1889,AUSTRALIA,2
1890,AUSTRALIA,2
1890,NEW ZEALAND,1
1891,AUSTRALIA,1
1891,CANADA,1
1891,NEW ZEALAND,1
